FoodID, Name, Status, Description, Price, Imagepath, Category, VendorID
F2,Fried Duck,Available,Delicious and Juicy Fresh Chicken,10,src/main/java/image_repository/default-food.png,Rice,V1
F3,Fried Rice,Available,Delicious and Juicy Fresh Chicken,15,src/main/java/image_repository/default-food.png,Rice,V1
F4,Fried Cake,Available,Delicious and Juicy Fresh Chicken,20,src/main/java/image_repository/default-food.png,Rice,V1
F5,Fried Noodle,Available,Delicious and Juicy Fresh Chicken,20,src/main/java/image_repository/default-food.png,Rice,V2
F6,Pasta,Available,Delicious and Juicy Fresh Chicken,10.00,src/main/java/image_repository/default-food.png,Rice,V2
F7,Nasi Lemak,Available,Ice & Lemon Tea,20,src/main/java/image_repository/default-food.png,Beverage,V2
F8,Fried Noodle,Available,Delicious and Juicy Fresh Chicken,20.00,src/main/java/image_repository/default-food.png,Noodle,V2
F9,Milk,Unavailable,Delicious and Juicy Milk From ...,20.00,src/main/java/image_repository/default-food.png,Beverage,V2
F10,Nasi Lemak,Available,Ice & Lemon Tea,20,src/main/java/image_repository/default-food.png,Beverage,V2
F11,Black Noodle,Available,Sweet and sour taste,10,src/main/java/image_repository/F11.png,Noodle,V2
